model,file index,audio file,FEC,MSC,OVER,NDS
Pyannote,0,281474977490102,0.26899798251513113,0.23537323470073976,0.3454231433506045,0.3454231433506045
FunASR,0,281474977490102,0.0,0.0,10.334110334110335,31.546231546231546
Silero,0,281474977490102,0.03362474781439139,0.0,9.84375,9.84375
SpeechBrain,0,281474977490102,0.5716207128446537,0.5379959650302623,48.8701816570669,48.8701816570669
Pyannote,1,281474977490104,0.10504201680672269,0.08403361344537816,1.8087855297157622,1.8087855297157622
FunASR,1,281474977490104,0.0,0.0,13.701741105223316,36.33610900832703
Silero,1,281474977490104,0.31512605042016806,0.29411764705882354,9.163346613545817,9.163346613545817
SpeechBrain,1,281474977490104,0.0,0.0,2.6473099914602902,3.5012809564474807
Pyannote,2,281474977511688,0.8424814909369416,0.8169517487873373,7.193605683836591,7.193605683836591
FunASR,2,281474977511688,0.0,0.0,20.471841704718415,48.17351598173516
Silero,2,281474977511688,0.0,0.0,2.700186219739292,4.376163873370578
SpeechBrain,2,281474977511688,0.15317845289762574,0.3829461322440643,0.0,0.0
Pyannote,3,281474977519672,0.0,0.0,40.913978494623656,71.07526881720429
FunASR,3,281474977519672,0.0,0.0,41.66067577282531,59.66930265995687
Silero,3,281474977519672,0.0,0.0,13.333333333333334,32.15384615384615
SpeechBrain,3,281474977519672,3.079343672735446,6.698134412227468,0.21609940572663425,43.86817936250675
Pyannote,4,281474977520023,0.21136683889149835,8.90089243776421,29.330065359477125,44.52614379084967
FunASR,4,281474977520023,0.0,0.0,59.52575633687653,81.92968111201962
Silero,4,281474977520023,0.0,15.594175669328322,42.03747072599532,80.91334894613583
SpeechBrain,4,281474977520023,2.0197275716298733,12.564584311883515,42.03747072599532,42.03747072599532
Pyannote,5,281474977544630,0.0,0.0,38.48039215686275,98.10049019607843
FunASR,5,281474977544630,0.0,0.0,36.93467336683417,53.45477386934674
Silero,5,281474977544630,0.0,0.0,4.743833017077799,5.597722960151803
SpeechBrain,5,281474977544630,0.0,0.0,5.4613935969868175,98.0225988700565
Pyannote,6,281474977585189,0.0,0.0,1.858470335954253,97.78413152251608
FunASR,6,281474977585189,0.0,0.0,1.7008639308855291,13.696904247660187
Silero,6,281474977585189,0.0,0.0,4.253835425383542,6.066945606694561
SpeechBrain,6,281474977585189,0.12347856764861528,1.3406244487563943,0.0,0.0
Pyannote,7,281474977588440,0.0,0.0,34.759671746776085,98.18288393903869
FunASR,7,281474977588440,0.0,0.0,44.51645064805583,58.07577268195414
Silero,7,281474977588440,0.0,0.0,11.131276467029643,14.337568058076226
SpeechBrain,7,281474977588440,0.2903811252268602,0.2661826981246219,4.744744744744745,4.744744744744745
Pyannote,8,281474977594045,0.7036059806508356,0.6596306068601583,10.361842105263158,10.361842105263158
FunASR,8,281474977594045,0.0,0.0,19.69548133595285,58.69351669941061
Silero,8,281474977594045,1.4072119613016711,1.3632365875109937,3.4258712344949793,3.4258712344949793
SpeechBrain,8,281474977594045,0.0,0.30782761653474056,0.0,0.3058103975535168
Pyannote,9,281474977608892,0.0,0.0,65.79783852511125,98.02924348378895
FunASR,9,281474977608892,0.0,0.0,64.67498358502954,99.93434011818779
Silero,9,281474977608892,0.0,0.0,65.13285806869735,99.93519118600129
SpeechBrain,9,281474977608892,1.7420396862021226,2.4342408860175357,2.3731587561374794,46.317512274959086
Pyannote,10,281474977646560,0.8662420382165605,0.8407643312101911,48.35742444152431,48.35742444152431
FunASR,10,281474977646560,0.0,0.0,14.31686046511628,71.58430232558139
Silero,10,281474977646560,0.2038216560509554,2.9044585987261144,1.171303074670571,4.099560761346998
SpeechBrain,10,281474977646560,0.8152866242038216,3.3121019108280256,13.689604685212299,13.689604685212299
Pyannote,11,281474977648654,1.1979166666666667,1.171875,1.932367149758454,1.932367149758454
FunASR,11,281474977648654,0.0,0.0,3.3148423758625354,23.528615884183466
Silero,11,281474977648654,0.0,0.0,6.6237350505979755,8.463661453541858
SpeechBrain,11,281474977648654,0.4166666666666667,0.49479166666666663,0.0,0.0
Pyannote,12,281474977657137,0.0,0.8869179600886918,0.0,0.03762935089369708
FunASR,12,281474977657137,0.0,0.0,4.147880973850315,9.0892696122633
Silero,12,281474977657137,0.0,0.0,1.3548626577579805,1.3548626577579805
SpeechBrain,12,281474977657137,0.9608277900960829,2.3651145602365116,0.0,0.0
Pyannote,13,281474977658515,0.0,0.0,26.066790352504636,32.93135435992579
FunASR,13,281474977658515,0.0,0.0,23.659003831417625,50.09578544061303
Silero,13,281474977658515,1.7063313875168389,1.661427929950606,25.09398496240601,25.09398496240601
SpeechBrain,13,281474977658515,0.0,0.0,20.617529880478088,80.97609561752988
Pyannote,14,281474977673370,0.7317073170731708,0.7154471544715447,37.10914454277286,37.10914454277286
FunASR,14,281474977673370,0.0,0.0,36.96037847427558,53.222945002956834
Silero,14,281474977673370,0.0,0.0,24.66393921683226,69.66686148451198
SpeechBrain,14,281474977673370,0.894308943089431,1.788617886178862,24.823695345557123,24.823695345557123
Pyannote,15,281474977678109,0.0,3.350083752093802,0.0,29.26021727884118
FunASR,15,281474977678109,0.0,0.0,19.482758620689655,43.87931034482759
Silero,15,281474977678109,0.0,0.0,2.7083333333333335,29.6875
SpeechBrain,15,281474977678109,0.0,0.0,12.089704383282365,30.672782874617738
Pyannote,16,281474977680938,1.5789473684210527,1.5479876160990713,17.68511861969806,17.68511861969806
FunASR,16,281474977680938,0.0,0.0,9.950946040644709,28.03083391730904
Silero,16,281474977680938,0.0,0.0,5.916187345932621,7.723911257189811
SpeechBrain,16,281474977680938,0.49535603715170284,0.46439628482972134,6.986190089358245,6.986190089358245
Pyannote,17,281474977682649,0.613308800981294,0.5826433609322293,0.5381067428069405,13.694267515923567
FunASR,17,281474977682649,0.0,0.0,9.00900900900901,46.8018018018018
Silero,17,281474977682649,0.0,0.0,2.9312830370014415,3.027390677558866
SpeechBrain,17,281474977682649,0.6439742410303588,0.9199632014719411,0.0,2.369564423673738
Pyannote,18,281474977748055,0.9845998485231002,0.9341075485988387,55.02958579881657,55.02958579881657
FunASR,18,281474977748055,0.0,0.0,45.65934065934066,73.57142857142858
Silero,18,281474977748055,3.029537995455693,2.9790456955314313,26.330690826727064,28.199320498301244
SpeechBrain,18,281474977748055,1.893461247159808,1.8177227972734158,15.529411764705884,15.529411764705884
Pyannote,19,281474977862560,0.06429489927132448,0.04286326618088298,23.455710955710956,23.455710955710956
FunASR,19,281474977862560,0.0,0.0,5.333333333333334,36.14414414414415
Silero,19,281474977862560,0.0,0.0,2.4145616641901935,2.4145616641901935
SpeechBrain,19,281474977862560,0.7286755250750108,0.9429918559794257,0.0,0.0
Pyannote,20,281474977903187,2.380952380952381,2.301587301587302,99.35483870967742,99.35483870967742
FunASR,20,281474977903187,0.0,0.0,99.5850622406639,99.5850622406639
Silero,20,281474977903187,0.0,0.0,94.73684210526315,94.73684210526315
SpeechBrain,20,281474977903187,0.0,0.0,0.0,0.0
Pyannote,21,281474977944491,0.6935182715390771,0.6668444918644971,17.316017316017316,17.316017316017316
FunASR,21,281474977944491,0.0,0.0,52.48756218905473,99.75124378109453
Silero,21,281474977944491,0.10669511869831955,0.08002133902373967,54.739336492891,54.739336492891
SpeechBrain,21,281474977944491,0.5334755934915978,0.5068018138170179,5.445544554455446,5.445544554455446
Pyannote,22,281474978096178,1.1501210653753027,1.8159806295399514,0.0,0.0
FunASR,22,281474978096178,0.0,0.0,22.242817423540316,46.15384615384615
Silero,22,281474978096178,0.0,0.0,4.004576659038902,4.462242562929062
SpeechBrain,22,281474978096178,0.7263922518159807,0.665859564164649,1.1778563015312131,1.1778563015312131
Pyannote,23,281474978100266,1.1808118081180812,1.156211562115621,13.376717281272596,13.376717281272596
FunASR,23,281474978100266,0.0,0.0,12.298682284040996,32.57686676427526
Silero,23,281474978100266,1.3038130381303814,1.2792127921279213,8.549618320610687,8.549618320610687
SpeechBrain,23,281474978100266,0.3198031980319803,0.5658056580565806,0.0,0.0
Pyannote,24,281474978104412,4.35961147503953,4.3144341540546645,31.35,31.35
FunASR,24,281474978104412,0.0,0.0,35.12241054613936,60.87570621468926
Silero,24,281474978104412,2.4169866726903093,2.349220691213011,4.691075514874142,4.691075514874142
SpeechBrain,24,281474978104412,4.856562005873052,7.951208493336345,0.0,0.0
Pyannote,25,281474978119084,0.5396896784348999,0.5846638183044749,15.020297699594046,15.020297699594046
FunASR,25,281474978119084,0.0,0.0,31.10257816785518,45.63905650027427
Silero,25,281474978119084,0.0,0.0,11.096938775510203,11.798469387755102
SpeechBrain,25,281474978119084,0.33730604902181244,0.31481897908702494,17.040951122853368,17.040951122853368
Pyannote,26,281474978129899,0.0,0.0,91.0952380952381,99.26190476190476
FunASR,26,281474978129899,0.0,0.0,92.26473629782834,99.358841778697
Silero,26,281474978129899,0.0,0.0,70.08907641819034,71.21425222691046
SpeechBrain,26,281474978129899,2.4447421299397187,3.1815137307434695,79.75093399750935,79.75093399750935
Pyannote,27,281474978155591,0.0,0.6211180124223602,0.0,39.81481481481482
FunASR,27,281474978155591,0.0,0.0,73.1548480463097,99.92764109985528
Silero,27,281474978155591,15.420860998072392,15.39944313557507,16.498993963782695,26.86116700201207
SpeechBrain,27,281474978155591,0.0,0.9852216748768473,3.399122807017544,34.868421052631575
Pyannote,28,281474978155592,0.0,11.780208196073264,32.28021978021978,70.1923076923077
FunASR,28,281474978155592,2.0819607326393466,2.0687837659770723,32.650273224043715,32.650273224043715
Silero,28,281474978155592,0.0,7.866649097377784,0.0,73.42799188640974
SpeechBrain,28,281474978155592,0.0,13.176966662274344,0.0,99.79716024340772
Pyannote,29,281474978155610,0.0,27.63521515988946,0.0,60.99290780141844
FunASR,29,281474978155610,0.0,11.093564942755625,30.988023952095805,99.8502994011976
Silero,29,281474978155610,0.0,66.56138965653375,0.0,50.759219088937094
SpeechBrain,29,281474978155610,0.0,24.161073825503358,0.0,47.722342733188725
Pyannote,30,281474978176065,0.747220703480955,5.959540732640788,47.418244406196216,47.418244406196216
FunASR,30,281474978176065,11.755057408419901,11.718607618006196,24.13945278022948,34.33362753751103
Silero,30,281474978176065,12.283579369418627,15.819209039548024,45.85172109443954,45.85172109443954
SpeechBrain,30,281474978176065,0.8930198651357755,0.8747949699289228,47.64353041988004,47.64353041988004
Pyannote,31,281474978272723,0.0,0.33100404560500185,0.7585335018963337,3.0973451327433628
FunASR,31,281474978272723,0.0,0.0,51.06837606837607,99.94658119658119
Silero,31,281474978272723,0.0,0.0,37.400950871632325,69.20232435287903
SpeechBrain,31,281474978272723,0.3493931592497242,0.7723427730783377,14.624932541824068,57.52833243389098
Pyannote,32,281474978284655,1.4554275318374772,1.3947847180109159,44.593088071348944,44.593088071348944
FunASR,32,281474978284655,0.0,0.0,42.27642276422765,74.3321718931475
Silero,32,281474978284655,0.0,0.0,43.58683314415437,45.17593643586833
SpeechBrain,32,281474978284655,0.0,0.0,40.973871733966746,91.56769596199526
Pyannote,33,281474978285072,6.867969212551806,6.808762581409118,43.80952380952381,43.80952380952381
FunASR,33,281474978285072,0.0,0.0,41.14713216957606,77.43142144638404
Silero,33,281474978285072,0.0,0.0,42.50913520097443,56.76004872107187
SpeechBrain,33,281474978285072,2.901124925991711,2.841918294849023,4.0650406504065035,4.0650406504065035
Pyannote,34,281474978296401,0.0,0.0,41.36413641364136,96.58965896589659
FunASR,34,281474978296401,0.0,0.0,39.016018306636155,81.57894736842105
Silero,34,281474978296401,0.0,0.0,40.380313199105146,53.13199105145414
SpeechBrain,34,281474978296401,1.7666543982333458,2.3923444976076556,0.0,0.0
Pyannote,35,281474978311264,1.5638963360142983,1.9213583556747096,0.0,0.0
FunASR,35,281474978311264,0.0,0.0,50.272798129384256,72.72018706157444
Silero,35,281474978311264,0.0,0.0,5.200594353640416,9.212481426448738
SpeechBrain,35,281474978311264,0.580875781948168,0.5361930294906166,9.246088193456615,9.246088193456615
Pyannote,36,281474978321210,0.20143240823634737,0.17905102954341987,41.64070612668744,41.64070612668744
FunASR,36,281474978321210,0.0,0.0,39.11159263271939,70.63921993499459
Silero,36,281474978321210,0.0,0.13428827215756492,0.0,2.6690391459074734
SpeechBrain,36,281474978321210,0.0,0.6266786034019696,0.0,0.1779359430604982
Pyannote,37,281474978326366,0.6472491909385114,0.6010171058714748,1.8803418803418803,1.8803418803418803
FunASR,37,281474978326366,0.0,0.0,54.006410256410255,76.6826923076923
Silero,37,281474978326366,0.0,0.0,11.96319018404908,16.104294478527606
SpeechBrain,37,281474978326366,0.3236245954692557,0.27739251040221913,26.221079691516707,26.221079691516707
Pyannote,38,281474978336250,0.6370929683813119,0.6134969325153374,61.441743503772,61.441743503772
FunASR,38,281474978336250,1.6045304388862671,1.5809344030202928,41.7172593235039,65.04770164787512
Silero,38,281474978336250,0.0,3.8697498820198204,60.78431372549019,61.55157715260017
SpeechBrain,38,281474978336250,0.4955167531854649,1.2741859367626238,0.5035246727089627,1.7119838872104733
Pyannote,39,281474978364078,0.0,0.0,5.043478260869565,6.434782608695652
FunASR,39,281474978364078,0.0,0.0,29.82005141388175,67.73778920308483
Silero,39,281474978364078,0.0,0.0,14.953271028037381,19.781931464174455
SpeechBrain,39,281474978364078,0.23009664058904739,0.18407731247123793,10.049423393739703,10.049423393739703
Pyannote,40,281474978391051,0.0,0.0,26.254180602006688,94.81605351170569
FunASR,40,281474978391051,0.0,0.0,54.4891640866873,99.89680082559339
Silero,40,281474978391051,0.0,0.0,34.85967503692763,38.10930576070901
SpeechBrain,40,281474978391051,0.0,0.0,1.7817371937639197,99.77728285077951
Pyannote,41,281474978391058,0.0,0.0,69.81505944517833,81.17569352708058
FunASR,41,281474978391058,0.0,0.0,68.80546075085324,99.93174061433447
Silero,41,281474978391058,0.0,0.0,50.37037037037037,52.053872053872055
SpeechBrain,41,281474978391058,0.2329916123019571,0.1863932898415657,36.05734767025089,65.16129032258064
Pyannote,42,281474978391062,0.0,0.0,33.76168224299065,68.69158878504673
FunASR,42,281474978391062,0.0,0.0,30.853658536585364,55.97560975609757
